aspect,worker,time,rating
how happy you feel,AW31492615119,1502372036608,69
how much you like your home house or apartment,AW31492615119,1502372036695,67
how satisfied you are with your life,AW31492615119,1502372036780,67
the extent to which you feel the things you do in your life are worthwhile,AW31492615119,1502372036849,63
the quality of your sleep,AW31492615119,1502372036929,59
you being a good moral person and living according to your personal values,AW31492615119,1502372037032,72
you being able to spend enough time with the ones you love,AW31492615119,1502372037145,67
you being able to support your family financially,AW31492615119,1502372037257,53
you feeling that your work has value,AW31492615119,1502372037371,60
you not feeling anxious,AW31492615119,1502372037473,55
your emotional stability,AW31492615119,1502372037548,67
your health,AW31492615119,1502372037637,67
your knowledge skills and access to information,AW31492615119,1502372037714,70
your mental health,AW31492615119,1502372037833,67
your physical fitness,AW31492615119,1502372037927,53
your physical safety and security,AW31492615119,1502372038006,71
your sense of connection with other people,AW31492615119,1502372038092,55
how happy you feel,AW45861491036,1483197906944,54
how much you like your home house or apartment,AW45861491036,1483197907042,58
how satisfied you are with your life,AW45861491036,1483197907152,42
the extent to which you feel the things you do in your life are worthwhile,AW45861491036,1483197907257,55
the quality of your sleep,AW45861491036,1483197907361,52
you being a good moral person and living according to your personal values,AW45861491036,1483197907442,71
you being able to spend enough time with the ones you love,AW45861491036,1483197907522,59
you being able to support your family financially,AW45861491036,1483197907635,40
you feeling that your work has value,AW45861491036,1483197907708,47
you not feeling anxious,AW45861491036,1483197907803,41
your emotional stability,AW45861491036,1483197907868,56
your health,AW45861491036,1483197907952,61
your knowledge skills and access to information,AW45861491036,1483197908069,66
your mental health,AW45861491036,1483197908152,62
your physical fitness,AW45861491036,1483197908267,41
your physical safety and security,AW45861491036,1483197908368,65
your sense of connection with other people,AW45861491036,1483197908465,44
how happy you feel,AW62562980372,1499791228928,64
how much you like your home house or apartment,AW62562980372,1499791228989,63
how satisfied you are with your life,AW62562980372,1499791229095,70
the extent to which you feel the things you do in your life are worthwhile,AW62562980372,1499791229200,57
the quality of your sleep,AW62562980372,1499791229270,53
you being a good moral person and living according to your personal values,AW62562980372,1499791229389,64
you being able to spend enough time with the ones you love,AW62562980372,1499791229454,54
you being able to support your family financially,AW62562980372,1499791229567,62
you feeling that your work has value,AW62562980372,1499791229683,56
you not feeling anxious,AW62562980372,1499791229761,35
your emotional stability,AW62562980372,1499791229846,60
your health,AW62562980372,1499791229928,66
your knowledge skills and access to information,AW62562980372,1499791230035,70
your mental health,AW62562980372,1499791230131,55
your physical fitness,AW62562980372,1499791230215,48
your physical safety and security,AW62562980372,1499791230290,64
your sense of connection with other people,AW62562980372,1499791230399,50
how happy you feel,AW9806860651,1500067528704,31
how much you like your home house or apartment,AW9806860651,1500067528794,31
how satisfied you are with your life,AW9806860651,1500067528859,29
the extent to which you feel the things you do in your life are worthwhile,AW9806860651,1500067528941,32
the quality of your sleep,AW9806860651,1500067529019,31
you being a good moral person and living according to your personal values,AW9806860651,1500067529092,51
you being able to spend enough time with the ones you love,AW9806860651,1500067529162,39
you being able to support your family financially,AW9806860651,1500067529243,19
you feeling that your work has value,AW9806860651,1500067529348,28
you not feeling anxious,AW9806860651,1500067529435,19
your emotional stability,AW9806860651,1500067529543,38
your health,AW9806860651,1500067529629,39
your knowledge skills and access to information,AW9806860651,1500067529717,53
your mental health,AW9806860651,1500067529818,38
your physical fitness,AW9806860651,1500067529916,26
your physical safety and security,AW9806860651,1500067529976,42
your sense of connection with other people,AW9806860651,1500067530038,24
how happy you feel,AW8132561106,1482545561600,76
how much you like your home house or apartment,AW8132561106,1482545561676,78
how satisfied you are with your life,AW8132561106,1482545561753,80
the extent to which you feel the things you do in your life are worthwhile,AW8132561106,1482545561859,82
the quality of your sleep,AW8132561106,1482545561930,78
you being a good moral person and living according to your personal values,AW8132561106,1482545562011,90
you being able to spend enough time with the ones you love,AW8132561106,1482545562120,80
you being able to support your family financially,AW8132561106,1482545562200,70
you feeling that your work has value,AW8132561106,1482545562275,72
you not feeling anxious,AW8132561106,1482545562347,74
your emotional stability,AW8132561106,1482545562432,76
your health,AW8132561106,1482545562518,79
